OBJECTID,CollarID,Date_MMDDY,Speed_mph,Heading,y,x
147043,856,11/12/2008,0,220,40.363308,-105.560133
147044,856,11/12/2008,0,50,40.363525,-105.560133
147032,856,11/12/2008,0,25,40.363525,-105.560083
147055,856,11/12/2008,0,25,40.363516,-105.560083
147057,856,11/12/2008,0,255,40.363625,-105.560083
147046,856,11/12/2008,0,15,40.363558,-105.560075
147033,856,11/12/2008,0,265,40.363483,-105.560066
147031,856,11/12/2008,0,25,40.36355,-105.56005
147018,856,11/12/2008,0,200,40.363591,-105.560033
147020,856,11/12/2008,0,35,40.36355,-105.560025
147025,856,11/12/2008,0,10,40.363533,-105.560025
147026,856,11/12/2008,0,25,40.363508,-105.560025
147039,856,11/12/2008,0,105,40.363375,-105.560025
147045,856,11/12/2008,0,180,40.363533,-105.560025
147050,856,11/12/2008,0,25,40.3635,-105.560025
147040,856,11/12/2008,0,100,40.363466,-105.560016
147014,856,11/12/2008,0,5,40.363541,-105.560008
147022,856,11/12/2008,0,195,40.363533,-105.560008
147042,856,11/12/2008,0,190,40.363266,-105.560008
147051,856,11/12/2008,0,40,40.363491,-105.56
147054,856,11/12/2008,0,85,40.363491,-105.56
147021,856,11/12/2008,0,210,40.36355,-105.559991
147027,856,11/12/2008,0,0,40.36355,-105.559991
147034,856,11/12/2008,0,270,40.363575,-105.559991
147028,856,11/12/2008,0,5,40.363541,-105.559983
147047,856,11/12/2008,0,350,40.363366,-105.559983
147052,856,11/12/2008,0,190,40.363541,-105.559983
147016,856,11/12/2008,0,230,40.3635,-105.559975
147041,856,11/12/2008,0,180,40.363533,-105.559975
147049,856,11/12/2008,0,30,40.363525,-105.559975
147015,856,11/12/2008,0,275,40.363558,-105.559966
147029,856,11/12/2008,0,175,40.363591,-105.559941
147037,856,11/12/2008,0,110,40.363533,-105.559941
147036,856,11/12/2008,0,280,40.3636,-105.559933
147053,856,11/12/2008,0,180,40.363491,-105.559933
147019,856,11/12/2008,0,270,40.36355,-105.559925
147023,856,11/12/2008,0,145,40.363433,-105.559916
147038,856,11/12/2008,0,80,40.3635,-105.559916
147024,856,11/12/2008,0,0,40.363583,-105.559908
147035,856,11/12/2008,0,70,40.36355,-105.5599
147017,856,11/12/2008,0,295,40.363641,-105.559883
147012,856,11/12/2008,0,100,40.363308,-105.559875
147013,856,11/12/2008,0,130,40.363091,-105.559391
147102,856,11/13/2008,0,230,40.363308,-105.560333
147090,856,11/13/2008,0,225,40.363366,-105.5603
147073,856,11/13/2008,0,15,40.363266,-105.560166
