SITE	CAMPSITE	FMSS	UTM_E_27	UTM_N_27	LON_27	LAT_27	LON_DMS_27	LAT_DMS_27	UTM_E_83	UTM_N_83	LON_83	LAT_83	LON_DMS_83	LAT_DMS_83	GPS_DATE	DATAFILE	MAX_PDOP	MAX_HDOP	UNFILT_POS	HORZ_PREC	STD_DEV	East_UTM84	Nor_UTM84
EI-3-N/062	Lower East Inlet	90693	434651.98500	4453794.68200	-105.76816	40.23393	"W105? 46? 05.39"""	"N40? 14? 02.17"""	434605.65509	4454003.93972	-105.76873	40.23392	"W105? 46? 07.42"""	"N40? 14? 02.11"""	6/28/2005	G062816B.cor	11.00000	10.00000	121.00000	3.00000	6.00000	434612.19129400000	4453998.47803000000
EI-3-S/062	Lower East Inlet	90693	434588.06700	4453837.88600	-105.76892	40.23432	"W105? 46? 08.11"""	"N40? 14? 03.55"""	434541.73619	4454047.14463	-105.76948	40.23430	"W105? 46? 10.14"""	"N40? 14? 03.5"""	6/28/2005	G062816A.cor	12.00000	6.00000	121.00000	2.00000	13.00000	434548.27313800000	4454041.68214000000
EI-4-G/064	Gray Jay Group	90695	437446.78000	4453405.90200	-105.73528	40.23065	"W105? 44? 06.99"""	"N40? 13? 50.32"""	437400.48893	4453615.13277	-105.73584	40.23063	"W105? 44? 09.02"""	"N40? 13? 50.27"""	6/28/2005	G062818A.cor	9.00000	6.00000	122.00000	2.00000	10.00000	437406.99311400000	4453609.69711000000
EI-5/065	Slickrock	90697	438124.51000	4453596.51600	-105.72733	40.23241	"W105? 43? 38.38"""	"N40? 13? 56.69"""	438078.22812	4453805.74231	-105.72789	40.23240	"W105? 43? 40.41"""	"N40? 13? 56.63"""	6/28/2005	G062819A.cor	11.00000	4.00000	128.00000	2.00000	5.00000	438084.72476400000	4453800.31158000000
EI-6/066	Solitaire	90698	438288.43100	4453510.98700	-105.72539	40.23165	"W105? 43? 31.42"""	"N40? 13? 53.96"""	438242.15124	4453720.21095	-105.72596	40.23164	"W105? 43? 33.45"""	"N40? 13? 53.9"""	6/28/2005	G062820A.cor	8.00000	4.00000	121.00000	2.00000	11.00000	438248.64616500000	4453714.78238000000
EI-7/067	Upper East Inlet	90699	439116.28600	4453248.14800	-105.71564	40.22935	"W105? 42? 56.3"""	"N40? 13? 45.65"""	439070.01708	4453457.36173	-105.71620	40.22933	"W105? 42? 58.32"""	"N40? 13? 45.6"""	6/28/2005	G062820B.cor	4.00000	3.00000	123.00000	2.00000	3.00000	439076.50318700000	4453451.94274000000
EI-8/068	Lake Verna	90700	439516.53400	4453097.73300	-105.71092	40.22802	"W105? 42? 39.31"""	"N40? 13? 40.88"""	439470.27028	4453306.94157	-105.71148	40.22801	"W105? 42? 41.34"""	"N40? 13? 40.82"""	6/28/2005	G062820C.cor	12.00000	7.00000	122.00000	2.00000	7.00000	439476.75216400000	4453301.52738000000
H-2-G/114	Chapin Creek Group	91534	438050.50900	4479379.35700	-105.73070	40.46468	"W105? 43? 50.52"""	"N40? 27? 52.84"""	438004.47800	4479588.86727	-105.73126	40.46466	"W105? 43? 52.55"""	"N40? 27? 52.78"""	9/27/2005	H092717A.cor	5.00000	2.00000	189.00000	2.00000	2.00000	438010.72331500000	4479583.21576000000
H-3-E/113	Cache	91533	437566.54400	4479996.01100	-105.73647	40.47020	"W105? 44? 11.29"""	"N40? 28? 12.71"""	437520.51172	4480205.53263	-105.73703	40.47018	"W105? 44? 13.32"""	"N40? 28? 12.65"""	9/27/2005	H092718A.cor	5.00000	3.00000	123.00000	2.00000	3.00000	437526.75712500000	4480199.87126000000
H-3-W/113	Cache	91533	437504.50100	4479950.15700	-105.73720	40.46978	"W105? 44? 13.91"""	"N40? 28? 11.2"""	437458.46724	4480159.67873	-105.73776	40.46976	"W105? 44? 15.93"""	"N40? 28? 11.14"""	9/27/2005	H092718A.cor	5.00000	3.00000	133.00000	2.00000	11.00000	437464.71397400000	4480154.01715000000
