GHCN ID,Station Name,County,State,Elevation,Latitude,Longitude,1-Feb,2-Feb,3-Feb,4-Feb,5-Feb,6-Feb,7-Feb,8-Feb,9-Feb,10-Feb,11-Feb,12-Feb,13-Feb,14-Feb,15-Feb,16-Feb,17-Feb,18-Feb,19-Feb,20-Feb,21-Feb,22-Feb,23-Feb,24-Feb,25-Feb,26-Feb,27-Feb,28-Feb
US1COBO0380,BOULDER 2.0 W,BOULDER,Colorado,5438,40.02,-105.29,M,M,M,M,M,M,0,M,M,M,M,M,M,2,M,M,M,M,M,M,3,M,M,M,M,M,M,1.5
US1CODN0177,DENVER 2.0 ESE,DENVER,Colorado,5438,39.72,-104.93,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1.5,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COJF0072,BROOMFIELD 2.3 SSW,JEFFERSON,Colorado,5435,39.88,-105.11,T,T,T,0,0,0,0,T,0,T,T,0.3,0.3,1,1,1,1,4,3,2.5,3.6,0.5,T,T,8,6.5,5.5,4
US1COJF0343,WHEAT RIDGE 0.9 WSW,JEFFERSON,Colorado,5435,39.77,-105.11,1,0.5,T,0,0,0,0,0,0,0,0,0.5,0.5,1,1,1,0.5,4,4,3.5,2,2,T,0,8.5,6,4.5,M
US1COLA0077,FOWLER 27.4 SSW,LAS ANIMAS,Colorado,5434,37.8,-104.3,M,M,M,M,3.4,2.1,M,M,M,M,M,1,0.5,1.7,1.7,1.7,0.5,M,2.5,M,M,M,M,M,M,M,M,M
US1COBO0491,BOULDER 1.8 W,BOULDER,Colorado,5425,40.03,-105.29,M,T,0,0,0,0,0,T,0,T,0,1.2,2,3.1,3.1,M,0.6,10.2,6.5,4,3,M,T,M,M,5,3.5,M
US1CODN0079,DENVER 5.6 W,DENVER,Colorado,5424,39.76,-105.04,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,3.5,M,M,1,M,M,M,11,7.5,M,M
US1COBO0490,BOULDER 1.5 WNW,BOULDER,Colorado,5413,40.04,-105.28,T,T,T,0,0,0,0,T,0,T,0,0.5,1,2,2,2,1,M,M,M,M,M,M,T,M,M,M,M
USW00003017,DENVER INTL AP,DENVER,Colorado,5413,39.83,-104.66,0,0,0,0,0,0,T,T,T,T,T,T,T,1,1,1,1,1,1,T,1,0,0,0,10,5,2,1
US1COAR0386,LITTLETON 0.1 ESE,ARAPAHOE,Colorado,5409,39.59,-105.01,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0.3,0.5,0,0,2.9,2,2,1.5,1,0.5,0.5,15.5,15,2,2
USC00055984,NORTHGLENN,ADAMS,Colorado,5406,39.9,-105.01,M,M,M,M,M,M,M,M,0,M,M,0,M,1,1,M,M,2,0,M,2,M,M,0,9,3,1,0
US1COJF0511,WESTMINSTER 3.0 WSW,JEFFERSON,Colorado,5404,39.87,-105.11,M,M,M,M,M,M,M,M,M,M,M,M,0.2,0.7,M,M,M,3.2,M,M,M,M,M,M,M,M,M,M
US1COJF0217,DENVER 6.6 W,JEFFERSON,Colorado,5402,39.77,-105.06,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,2.7,M,M,M,M,M,M,6,4,3.8
US1COAD0153,WESTMINSTER 1.6 NE,ADAMS,Colorado,5402,39.9,-105.03,0,0,0,0,0,0,0,0,0,0,0,0.1,T,1,1.5,1,0,2.7,2,0.5,1.3,0,0,0,9.5,8,5.5,4.5
US1CODN0025,DENVER 2.1 ESE,DENVER,Colorado,5399,39.73,-104.95,T,0,0,0,0,0,M,M,M,0,0,T,T,1,1,0.5,T,2,M,M,1.5,1,T,0,14,9,5,3.5
US1CODN0016,DENVER 5.2 S,DENVER,Colorado,5399,39.67,-104.97,T,T,T,T,T,T,T,T,T,T,T,T,T,0.5,0.5,T,T,3,1.5,T,2,0.5,T,T,14,7,5.5,4.5
US1COBO0146,LYONS 0.3 NNE,BOULDER,Colorado,5398,40.23,-105.27,0,0,0,0,0,0,0,T,T,T,T,0.1,0.5,1.5,1.5,1.5,0.5,5,4,2.5,1,T,T,T,4,3,2,1
USC00058995,WHEAT RIDGE 2,JEFFERSON,Colorado,5397,39.77,-105.12,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,3,0,1,0,0,0,9,7,4,3
US1COBO0004,BOULDER 2.9 S,BOULDER,Colorado,5396,39.99,-105.26,0,0,0,0,0,M,0,T,T,T,T,0.5,1,2,2,M,1,7.5,6,M,1,1,M,M,8,6,4,3
US1CODN0112,DENVER 0.2 NNW (BOTANIC GARDENS),DENVER,Colorado,5396,39.73,-104.96,0,0,0,0,0,0,0,0,0,0,M,T,T,1,0.5,0.5,T,2,0.5,0,1,0.5,0,0,11,3.5,M,M
US1COBO0521,BOULDER 1.4 W,BOULDER,Colorado,5391,40.03,-105.28,M,M,M,M,M,M,M,T,M,M,M,0.5,1,1.6,1.5,1.3,0.5,10.5,5,2.5,1.5,1,0,0,7.5,4,2.5,2
US1COBO0298,BOULDER 2.5 S,BOULDER,Colorado,5390,39.99,-105.26,M,M,M,M,M,M,M,M,M,M,M,0.5,M,M,M,M,M,7,M,M,0.3,M,M,M,7.5,M,M,M
US1CODN0049,DENVER 3.2 SSE,DENVER,Colorado,5390,39.72,-104.92,M,M,M,M,M,M,M,M,M,M,M,M,T,1.2,M,M,M,1.5,1,M,1.5,M,M,M,12.5,6,3,1
US1COAD0246,WESTMINSTER 2.4 S,ADAMS,Colorado,5389,39.85,-105.05,M,M,M,M,M,M,M,M,M,M,M,0,0.5,M,M,M,2.5,M,M,M,M,M,M,12,13,M,M,M
USC00051294,CANON CITY,FREMONT,Colorado,5377,38.46,-105.23,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,T,3,2,T,0,0,0,0,2,T,0,0
US1COBO0072,BOULDER 1.3 NW,BOULDER,Colorado,5376,40.02,-105.27,0,0,0,0,M,M,M,T,T,T,0,0.5,0.5,2,1.5,1,0.5,9,4.5,1,0.5,T,T,0,6.5,4,1,0.5
US1COBO0351,LAFAYETTE 2.3 WNW,BOULDER,Colorado,5375,40.0,-105.14,M,M,M,M,M,M,M,M,M,M,M,0.6,M,2,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COJF0499,WHEAT RIDGE 1.2 ENE,JEFFERSON,Colorado,5374,39.78,-105.08,0,0,0,0,0,0,0,0,0,T,0,T,T,1,1,1,0,4,1,1,2,0,0,0,11,6,4,3
US1COBO0496,BOULDER 1.5 NNW,BOULDER,Colorado,5371,40.05,-105.26,M,M,M,M,M,M,M,M,M,M,M,0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1CODN0175,DENVER 0.4 E,DENVER,Colorado,5371,39.73,-104.95,M,M,M,M,M,M,M,M,M,M,M,T,T,1,1,T,T,2,T,T,1.5,T,T,M,12,6.5,5.5,4
US1COJF0512,WHEAT RIDGE 1.4 ENE,JEFFERSON,Colorado,5371,39.78,-105.08,M,M,M,M,M,M,M,M,M,M,M,T,M,1,M,M,M,3.7,M,M,1,M,M,M,7.2,M,M,M
US1COBO0030,BOULDER 1.9 SE,BOULDER,Colorado,5367,39.99,-105.24,T,0,0,0,0,0,0,T,0,0,T,0.6,0.9,1.8,1.5,1.5,1,8.2,5,2,1,T,T,T,8.3,5.5,3.5,2.5
US1COBO0468,LOUISVILLE 1.6 NNE,BOULDER,Colorado,5366,39.99,-105.13,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1.4,M,M,M,M,M,M,M
